City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Bandarbeyla,SO,9.4942,50.8122,77.97,82,65,31.41,broken clouds
163,Kurumkan,RU,54.3,110.3,60.66,62,33,2.33,scattered clouds
164,Dunedin,NZ,-45.8742,170.5036,45.81,60,82,18.99,broken clouds
165,Katherine,AU,-14.4667,132.2667,57.52,58,96,6.91,overcast clouds
166,Cape Town,ZA,-33.9258,18.4232,51.35,87,20,3.44,few clouds
167,Aripuana,BR,-9.1667,-60.6333,74.7,65,77,1.92,broken clouds
168,Ribeira Grande,PT,38.5167,-28.7,64.89,82,100,10.36,overcast clouds
169,Westport,US,41.1415,-73.3579,83.91,48,0,10.36,clear sky
170,Tefe,BR,-3.3542,-64.7114,82.51,74,40,4.61,scattered clouds
171,Chuy,UY,-33.6971,-53.4616,55.33,86,8,5.66,clear sky
172,Gat,IL,31.61,34.7642,74.8,100,0,4.74,clear sky
173,Tasiilaq,GL,65.6145,-37.6368,39.36,86,100,15.01,overcast clouds
174,Dikson,RU,73.5069,80.5464,32.09,81,36,9.37,scattered clouds
175,Asau,RO,46.4333,26.4,61.95,82,100,3.18,overcast clouds
176,La Ronge,CA,55.1001,-105.2842,61.05,88,100,8.05,overcast clouds
177,Chokurdakh,RU,70.6333,147.9167,68.86,28,20,7.92,few clouds
178,Khash,IR,28.2211,61.2158,81.34,33,3,4.47,clear sky
179,Caravelas,BR,-17.7125,-39.2481,71.73,71,70,11.01,broken clouds
180,Nantucket,US,41.2835,-70.0995,78.85,66,0,8.05,clear sky
181,Wellington,NZ,-41.2866,174.7756,56.86,67,81,17.27,broken clouds
182,Batemans Bay,AU,-35.7167,150.1833,47.1,74,95,5.61,overcast clouds
183,Toledo,ES,39.8333,-4.0,85.08,18,57,5.93,broken clouds
184,Akdepe,TM,42.0551,59.3788,80.69,34,74,11.36,broken clouds
185,Montalto Uffugo,IT,39.4048,16.158,70.57,69,5,2.98,clear sky
186,Port Elizabeth,ZA,-33.918,25.5701,59.09,61,0,19.57,clear sky
187,Ponta Do Sol,PT,32.6667,-17.1,68.72,72,18,6.78,few clouds
188,Aktash,RU,50.3,87.7333,45.3,87,91,2.84,overcast clouds
189,Kavaratti,IN,10.5669,72.642,82.44,80,100,16.22,light rain
190,Fort Nelson,CA,58.8053,-122.7002,71.19,26,75,5.75,broken clouds
191,Avarua,CK,-21.2078,-159.775,77.77,72,39,15.3,scattered clouds
192,Stornoway,GB,58.2093,-6.3865,53.56,93,100,12.66,overcast clouds
193,Fengxian,CN,34.7039,116.5872,71.47,47,9,2.01,clear sky
194,Clyde River,CA,70.4692,-68.5914,39.43,81,75,12.66,broken clouds
195,San Joaquin,US,37.9333,-121.3011,90.54,15,0,12.66,clear sky
196,Alibag,IN,18.6411,72.8792,86.07,77,47,10.07,scattered clouds
197,Ahipara,NZ,-35.1667,173.1667,59.09,77,3,12.53,clear sky
198,Hambantota,LK,6.1241,81.1185,80.24,82,100,15.99,overcast clouds
199,Pevek,RU,69.7008,170.3133,36.36,73,0,6.2,clear sky
200,Lebanon,US,36.2081,-86.2911,99.45,55,7,7.11,clear sky
201,Talnakh,RU,69.4865,88.3972,60.21,59,76,6.08,broken clouds
202,Shenjiamen,CN,29.9576,122.298,70.61,94,93,9.51,overcast clouds
203,Nome,US,64.5011,-165.4064,44.67,87,100,17.27,overcast clouds
204,Pacific Grove,US,36.6177,-121.9166,80.38,72,0,8.05,haze
205,Vanino,RU,49.0869,140.2543,61.05,76,50,2.3,scattered clouds
206,Northam,GB,51.0333,-4.2167,54.39,85,27,4.27,scattered clouds
207,Richards Bay,ZA,-28.783,32.0377,67.28,46,100,5.79,overcast clouds
208,Necochea,AR,-38.5473,-58.7368,54.79,60,100,7.94,overcast clouds
209,Nuuk,GL,64.1835,-51.7216,43.41,42,40,25.32,scattered clouds
210,Laramie,US,41.3114,-105.5911,66.52,14,0,34.52,clear sky
