City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Porto Novo,BJ,84.02,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
371,Doha,QA,88.11,clear sky,25.2867,51.5333,Doha Marriott Hotel
374,Lorengau,PG,80.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
376,Palencia,ES,78.1,overcast clouds,42.4167,-4.5,Hotel Area de Servicio Los Chopos
377,Korla,CN,83.03,overcast clouds,41.7597,86.1469,Gulisitan Hotel
378,Todos Santos,MX,75.31,clear sky,23.45,-110.2167,Hotel California Todos Santos
380,Kpandu,GH,77.23,light rain,6.9954,0.2931,Emo House
387,Machilipatnam,IN,84.96,overcast clouds,16.1667,81.1333,R&B Bungalow
388,Hobyo,SO,78.66,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
391,Harper,LR,78.42,overcast clouds,4.375,-7.7169,Screensaver
392,Hami,CN,86.13,overcast clouds,42.8,93.45,Laoyutang Resort
403,Posse,BR,78.35,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
415,Klang,MY,78.94,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
421,Lixourion,GR,77.0,few clouds,38.2019,20.4314,Hotel Summery
423,Kearney,US,88.34,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
430,Humaita,BR,80.71,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
433,Chico,US,89.06,clear sky,39.7285,-121.8375,Quality Inn Near Chico State
436,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
437,Aborlan,PH,78.87,broken clouds,9.4352,118.5492,Kevina Transient House
438,Lethem,GY,78.87,overcast clouds,3.3803,-59.7968,Savannah Inn
442,Pingshan,CN,75.0,overcast clouds,22.9938,114.7131,Island Skylight Resort
449,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Pousada Camboinha
455,Rincon,US,81.84,overcast clouds,32.296,-81.2354,Days Inn Rincon
457,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
462,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
463,Matara,LK,79.16,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
465,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
473,Sao Felix Do Xingu,BR,77.7,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
474,Axim,GH,78.87,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
475,Ugoofaaru,MV,82.67,few clouds,5.6667,73.0,Ungoofaaru Inn
477,Jibuti,DJ,88.9,broken clouds,11.5,42.5,Orchid Main Camp Goubet
480,Tehri,IN,78.44,clear sky,30.3833,78.4833,The Reindeer Resort Kanatal
481,Banda Aceh,ID,78.78,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
491,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
493,Tautira,PF,79.21,broken clouds,-17.7333,-149.15,Pension Oaoa
497,Itaporanga,BR,77.85,scattered clouds,-7.3044,-38.1503,Hotel Rainha do Vale
506,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
507,Ciudad Bolivar,VE,83.53,broken clouds,8.1222,-63.5497,Hotel Edi
510,Mahibadhoo,MV,82.49,few clouds,3.7833,72.9667,Omadhoo Inn
511,Pemangkat,ID,76.69,broken clouds,1.1667,108.9667,Ramah Kost KITA
512,Sassandra,CI,77.59,light rain,4.95,-6.0833,la terrasse
514,Wilmington Island,US,85.98,few clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
